,1.5-1.51.5,1.5-1.41.5,1.5-1.41.6,1.6-1.41.6,1.6-1.31.6,1.5-1.31.6,1.4-1.31.6,1.4-1.31.7,1.4-1.31.6,1.4-1.21.6,1.3-1.21.6,1.2-1.21.6,1.2-1.21.5,1.2-1.11.5,1.2-1.01.5,1.1-1.01.5,1.2-1.01.5,1.2-1.01.6,1.1-1.01.6,1.1-1.11.6,1.1-1.11.5,1.1-1.11.5,1.1-1.21.5,1.1-1.31.5,1.2-1.31.5,1.2-1.01.5,1.2-1.01.5,1.2-1.01.4,1.1-1.01.4,1.2-1.01.4,1.2-1.01.4,1.2-1.01.3,1.2-1.01.2,1.2-1.01.1,1.2-1.11.1,1.5-1.41.5,1.5-1.41.4,1.5-1.41.3,1.5-1.41.3,1.5-1.51.3,1.4-1.51.3,1.4-1.51.3,1.4-1.61.3,1.4-1.51.3,1.4-1.51.2,1.4-1.61.2,1.4-1.61.1,1.4-1.71.1,1.5-1.41.3,1.4-1.41.3,1.4-1.51.2,1.5-1.51.2,1.6-1.51.2,1.6-1.51.3,1.4-1.51.2,1.4-1.41.3,1.4-1.31.3,1.4-1.31.2,1.4-1.21.2,1.4-1.11.2,1.4-1.11.2,1.4-1.11.1,1.4-1.11.0,1.3-1.11.0,1.3-1.21.0,1.2-1.21.0,1.2-1.31.0,1.2-1.41.0,1.2-1.51.0,1.2-1.50.9,1.2-1.60.9,1.2-1.70.9,1.1-1.70.9,1.1-1.70.8,1.2-1.70.8,1.2-1.70.7,1.2-1.80.7,1.3-1.80.7,1.3-1.80.8,1.4-1.80.8,1.3-1.80.8,1.2-1.80.8,1.2-1.90.8,1.2-1.90.7,1.2-1.90.8,1.2-1.90.9,1.2-1.80.9,1.2-1.81.0,1.4-1.11.2,1.5-1.11.2,1.5-1.01.2,1.5-0.91.2,1.5-0.81.2,1.5-0.81.2,1.5-0.71.2,1.6-0.71.2,1.5-0.71.2,1.5-0.71.2,1.5-0.71.3,1.4-0.71.3,1.4-0.61.3,1.3-0.61.3,1.4-1.11.2,1.3-1.11.2,1.3-1.11.1,1.3-1.11.0,1.3-1.10.9,1.3-1.11.0,1.2-1.11.0,1.3-1.11.2,1.2-1.11.2,1.2-1.21.2,1.2-1.11.2,1.2-1.11.0,1.2-1.21.0,1.2-1.20.9,1.2-1.20.8,1.2-1.30.8,1.2-1.30.7,1.2-1.40.7,1.2-1.40.6,1.2-1.50.6,1.2-1.50.7,1.2-1.50.7,1.3-1.50.7,1.3-1.40.7,1.3-1.40.6,1.3-1.50.6,1.3-1.40.7,1.3-1.40.7,1.2-1.40.7,1.1-1.40.7,1.1-1.40.6,1.1-1.40.5,1.2-1.40.5,1.3-1.41.3,1.4-1.41.2,1.3-1.41.2,1.3-1.41.2,1.3-1.41.1,1.2-1.41.1,1.2-1.41.2,1.3-1.41.2,1.3-1.51.2,1.3-1.61.2,1.4-1.61.1,1.3-1.61.1,1.3-1.51.1,1.2-1.51.1,1.2-1.51.0,1.3-1.51.0,1.3-1.41.0,1.3-1.30.9,1.2-1.40.9,1.2-1.40.8,1.2-1.50.8,1.2-1.50.9,1.3-1.40.9,1.2-1.40.9,1.2-1.41.0,1.1-1.41.0,1.1-1.41.1,1.1-1.41.2,1.1-1.31.2,1.1-1.31.1,1.2-1.11.0,1.1-1.11.0,1.1-1.10.9,1.1-1.00.9,1.1-0.90.9,1.1-0.80.9,1.1-0.80.8,1.1-0.80.9,1.1-0.81.0,1.2-0.81.0,1.2-0.91.0,1.2-0.91.1,1.2-0.81.1,1.1-0.81.1,1.1-0.71.1,1.2-1.11.1,1.2-1.11.2,1.1-1.11.2,1.1-1.21.2,1.0-1.21.2,1.0-1.11.2,1.1-1.11.2,1.1-1.11.1,1.1-1.11.0,1.1-1.21.0,1.1-1.21.1,1.1-1.21.1,1.2-1.21.1,1.3-1.21.1,1.2-1.21.1,1.2-1.11.2,1.2-1.11.3,1.2-1.21.3,1.1-1.21.3,1.2-1.21.3,1.2-1.31.3,1.2-1.31.2,1.2-1.31.1,1.2-1.11.3,1.2-1.01.1,1.2-0.81.1,1.2-0.81.1,1.2-0.81.0,1.2-0.81.1,1.2-0.71.1,1.3-0.71.1,1.4-0.71.1,1.4-0.71.0,1.4-0.71.0,1.4-0.81.0,1.3-0.81.0,1.2-0.71.1,1.2-0.71.2,1.3-0.71.2,1.3-0.71.1,1.3-0.71.1,1.3-0.71.0,1.2-0.71.0,1.2-0.71.1,1.1-0.61.1,1.0-0.71.0,1.2-0.71.1,1.2-0.71.1,1.2-0.71.1,1.5-1.41.3,1.6-1.41.3,1.6-1.41.2,1.7-1.41.2,1.7-1.31.2,1.7-1.21.2,1.8-1.21.2,1.8-1.11.2,1.3-1.01.3,1.1-1.01.3,1.1-1.01.2,1.1-0.91.2,1.0-0.91.2,1.0-1.01.2,1.0-1.01.3,1.0-1.01.4,1.0-1.01.3,1.0-0.91.3,1.1-0.91.3,1.1-0.91.4,1.0-0.91.4,1.0-0.81.4,1.0-0.81.5,1.1-0.81.5,1.1-0.91.5,1.1-1.11.2,1.2-0.91.3,1.3-0.91.3,1.3-1.01.4,1.3-1.11.3,1.2-0.61.1,1.4-1.01.2,1.4-1.01.1,1.5-1.01.1,1.6-1.01.0,1.7-1.01.0,1.8-1.01.0,1.8-1.01.1,1.9-1.01.1,1.9-1.01.2,1.9-1.01.2,1.8-1.01.2,1.8-1.11.1,1.8-1.11.0,1.9-1.11.0,1.9-1.21.0,1.9-1.20.9,1.9-1.21.0,1.8-1.21.0,1.8-1.11.0,1.8-1.11.1,1.8-1.21.1,1.9-1.21.1,1.8-1.11.1,1.8-1.01.1
,2,4,0,2,1,1,4,5,2,1,1,5,2,2,1,0,4,1,3,5,4,3,3,0,2,3,5,1,0,4,5,5,5,3,5,5,5,4,3,1,0,3,2,5,3,5,3,3,1,3,0,0,4,1,4,2,5,2,2,3,5,5,1,3,1,3,3,3,5,3,3,1,5,0,5,3,0,4,0,1,1,3,5,4,4,2,4,5,0,2,2,2,3,2,0,1,3,4,1,2,1,2,1,5,5,5,4,1,0,1,3,2,5,3,5,5,3,5,3,5,3,4,5,0,2,5,3,4,3,1,1,5,5,0,5,5,1,0,5,1,4,0,3,3,0,1,2,1,5,0,2,5,1,5,3,4,4,1,4,1,4,4,2,5,1,1,5,2,2,2,5,4,4,0,3,4,2,1,2,2,1,1,3,1,2,0,5,5,3,4,5,0,0,1,4,4,3,1,0,3,5,5,2,2,2,3,5,4,2,0,0,5,4,3,1,1,4,0,5,4,5,1,4,1,5,3,3,5,2,0,5,0,2,2,0,2,5,1,5,2,1,3,4,4,5,2,0,4,1,2,4,0,3,3,0,0,4,1,5,0,5,0,5,0,0,4,0,4,5,1,3,5,0,3,5,4,1,2,4,3,0,5,2,2
0,27.543,-0.500,-0.500,0.994,1.013,1.039,-0.500,1.022,1.125,1.145,1.165,1.239,2.278,1.557,-0.500,2.547,-0.500,-0.500,-0.500,1.376,-0.500,-0.500,-0.500,1.119,1.244,-0.500,2.738,-0.500,1.722,-0.500,11.962,90.504,87.512,-0.500,-0.162,32.113,38.616,-56.641,-0.500,1.517,-0.500,-0.500,0.977,2.037,-0.500,0.056,-0.500,0.768,47.407,-0.500,-0.500,-0.500,-0.500,0.939,2.255,53.110,55.427,59.382,26.941,-0.500,-0.500,-0.500,1.625,-0.500,1.418,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,0.811,-0.500,-0.500,-0.500,0.746,-0.500,0.755,-0.500,-0.500,-0.500,0.705,0.708,0.763,0.776,-0.500,-0.500,1.722,1.975,2.252,-0.500,2.640,-0.500,2.641,-0.500,-0.500,2.838,3.336,4.178,-100,71.855,-0.500,1.622,-0.500,1.636,1.653,-0.500,78.995,-0.500,2.599,-0.072,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,0.952,-0.500,-0.500,1.015,-0.500,-0.500,0.927,-0.500,-0.500,-0.500,-0.500,-0.500,0.926,0.869,-0.500,1.100,-0.500,-0.500,1.113,1.128,-0.500,-0.500,-0.500,-0.500,0.908,0.985,1.003,-0.500,0.719,1.766,0.173,-0.500,-0.500,-0.500,0.990,1.008,1.080,1.150,-0.500,1.140,-0.500,1.244,-0.500,1.216,-0.500,-0.500,1.879,2.160,3.090,-0.500,2.901,3.035,6.904,-0.500,2.663,84.444,-0.500,4.238,100,1.659,-0.500,-0.500,-0.500,1.562,1.634,-0.500,1.630,-0.500,1.468,-0.500,-0.500,-0.500,1.437,1.213,82.944,-0.500,-0.500,1.379,-0.500,1.240,1.243,1.445,87.922,80.783,-0.500,-0.500,8.082,66.783,-0.500,-0.500,1.117,-0.500,-0.500,3.050,3.217,-0.500,-0.500,4.519,-0.500,-0.500,4.607,5.333,-0.500,-0.500,-0.500,-0.500,-0.500,115.339,-0.500,1.012,-0.500,1.049,1.157,-0.500,1.153,1.184,-0.500,1.918,2.397,-0.500,-0.500,1.877,-0.500,1.741,2.022,2.202,-0.500,-0.500,2.146,-0.500,1.948,-0.500,-0.500,-0.500,2.161,-0.500,1.722,-0.500,62.840,1.893,-0.500,-0.500,0.328,-0.500,1.271,-0.500,1.169,-0.500,1.270,-0.500,-0.500,-0.500,-0.500,-0.500,1.019,1.733,1.848,1.211,-0.500,-0.500,-0.500,1.260,1.387
