,1.5001501466811185-1.49648780851799761.5072105721460698,1.506988538690135-1.49203460927718011.4087170253162222,1.5003865176124203-1.40838508311459881.3977242084232913,1.6095963885796234-1.39918622618577351.4032526972331425,1.6939125739111303-1.39794286620510461.4001631409004531,1.7131277656661439-1.38294101380930631.5055952159403905,1.809884751680361-1.40068029579818991.5009956570379508,1.7810022411675739-1.40744284917868611.4042540863364268,1.8148790252235685-1.38446529315710621.5093597169655526,1.8186777563104073-1.39671154390651081.4025376984467686,1.8041051481796995-1.30453324571817841.3997255730063376,1.692481564366438-1.2944925471612141.4053168216357852,1.707054865762272-1.31059753103248071.293480014274266,1.7971779506139427-1.29455775181876741.3053961919298338,1.8123346472362591-1.28069679518306321.4006730852692586,1.6969158057264355-1.29542058179726641.404468173231808,1.7175761041844453-1.19304859501731551.4109309194548318,1.8382821915174272-1.1974728720913631.4020803771211918,1.8958008897583198-1.19573539925738631.4030953758741598,1.8063722479108826-1.19754724258607761.4025820038415153,1.8935003896485352-1.19606927113480041.4032946988565547,1.876887993851284-1.09735657460901681.4029622913770643,1.928254242551942-1.10319211188001631.3076504763012355,1.869738817168992-1.10931607085517211.2019426464153877,1.9204508565617147-1.10443063034819741.0923884505244192,1.9942578289574904-1.09431530511654621.1050270110038438,2.103641433110379-1.09763719101644061.1017713233191753,2.0085789525729183-1.0959953108384291.1040187022807055,1.9913007077861664-1.10842846692315431.0027726542626674,1.8739959191010627-1.0933999231718811.0057362793608204,1.9130487179827966-1.07389190297584051.106139168108788,1.905218857892173-1.12205815245810571.0036887161079209,1.8863553166435914-1.04836546048918061.0905968852675594,1.9939543278282486-1.09569913291302261.1011934536292243,1.9046585614264817-1.0968073392620861.1023117075032047,1.948956697507798-1.10410984902103421.2015968318889145,1.8096110800031457-1.09641293109937351.203643151656534,1.8238152120292703-1.19048407379189941.2079358979166006,1.895440787646674-1.19790473430997931.2000490190352187,1.9101542143810128-1.1776710360087641.2959823190290178,1.886638542745077-1.21005389527165891.197178101340902,1.9166831898638748-1.30332242810460031.2003180721835793,1.8782229192720976-1.30708980758836811.0916629018269566,1.9131315146469667-1.30174503216053950.9952291411566021,1.7926070283583115-1.2968322777000571.0042143453996877,1.8252557659393744-1.39972320572309621.0037896650870763,1.7861004312655737-1.373398370943451.0999180794268932,1.698724265314402-1.39673468633296681.1047087044577184,1.602172075097375-1.39505684125348581.1044502945150683,1.5920382240602793-1.2622400266789981.1117094833101104,1.499618182703573-1.49607460935572871.5080045260794126,1.4122561861434795-1.4955004698180431.5072736909215525,1.3070349382378161-1.49367428300979551.5073578072020553,1.3993107120746755-1.49360151626931081.5076489378055102,1.3822290632085688-1.40197451000347331.495230626276463,1.4996242505797834-1.39889742205921671.507588723350013,1.5136803222002433-1.40391273255495451.4070176297845407,1.515313307297502-1.40123038970130141.5078306001093926,1.5112449471604306-1.40163384049765321.4001290270090934,1.4983795871262329-1.38092922209332341.4931837887339103,1.4155105494428293-1.39709483621833731.5049836583604144,1.309822921259438-1.3994503776550681.4999161821824556,1.283230541113216-1.52276892895935671.4947461917161595,1.3093662040592546-1.40734857188196921.4989176660671433,1.2585529576871872-1.29610192197921851.5017782757177525,1.3935581210565466-1.29502967708388721.5043633752474213,1.3050911590247871-1.2977442994031421.5035335464256674,1.1918325454626197-1.29833643706437041.5012344726511708,1.2148360305717585-1.30303984818372241.4083937093792684,1.305513194867677-1.29973325814189171.399987516154078,1.3060603923129648-1.30497234245612861.3048526946284555,1.2097985566287681-1.29867123386895061.3026353741745265,1.3083548629779536-1.29818151772797741.3031479515391897,1.2986235121002565-1.30164429690860841.1996379085945366,1.2985380913326612-1.30926001283687121.0950928345366213,1.396453362725822-1.29902808731787461.100131277514648,1.5009956122882384-1.29976267198776261.0998388014579872,1.3986553571081366-1.294886817085221.1050019714684245,1.388755871151714-1.40272982132275371.0924085031687794,1.3642109500365374-1.29754461471167911.1004746290214857,1.4421426670227735-1.19642075256393451.1038369480331625,1.5328445680717362-1.1938677690275271.10618860752317,1.4050372452534008-1.19712882344835771.1020480363613379,1.4042129773441978-1.2036139272940930.996890033086947,1.3855289017421608-1.30124127002810840.9996718283797765,1.2941870729389313-1.29652931380905031.001850483991432,1.2956381152910437-1.39931054046528570.9963191753627472,1.207145746814546-1.39911755462916341.001824990018502,1.101405225444715-1.39890375569816781.0014335525439186,1.0883005735378237-1.4023830917117240.8935719625248053,1.1961694673976213-1.39940005634039540.9030996551480044,1.20726662697792-1.29198628358811620.9043962029013519,1.1053280478188183-1.2977845472642170.9015834109409706,1.1057866080232932-1.29066494175588090.7906485169598572,1.1095375952938413-1.3037631096769670.6967753046691634,1.0011404980169738-1.30081922191024720.6994227196069298,0.8782123243009172-1.29677406349949460.7018166564106707,0.8972880633556377-1.29732103786672770.6069420761199753,1.0084164606242876-1.2967303132800110.6029204822767209
,5,2,0,0,4,0,5,4,5,2,1,5,0,4,1,2,0,0,1,0,2,5,5,5,0,0,1,5,1,4,5,4,0,1,4,1,3,0,4,5,3,5,5,1,3,4,1,1,2,2,1,1,0,2,0,5,4,5,4,1,1,3,2,2,0,1,1,5,0,5,1,0,5,5,0,0,1,3,2,2,0,1,5,3,1,3,1,1,5,0,2,1,5,5,1,1,5,0,4
0,0.923,0.998,0.000,0.936,0.000,0.863,0.893,0.000,0.884,0.953,1.017,1.025,0.000,0.965,1.014,1.088,0.000,0.971,1.028,0.000,1.050,0.000,1.098,0.000,1.008,0.000,0.996,0.997,1.108,0.000,1.058,1.138,0.000,1.083,0.000,1.164,0.000,1.010,0.000,1.008,0.000,0.949,0.000,1.002,0.000,0.951,0.975,1.019,1.167,1.227,0.000,0.927,0.000,0.999,0.000,0.995,0.000,1.000,0.000,0.992,1.010,0.000,1.003,1.119,0.000,1.111,1.119,1.162,0.000,1.194,1.214,0.000,1.229,0.000,1.215,0.000,1.220,0.000,1.228,1.356,0.000,1.376,0.000,1.207,1.238,0.000,1.106,0.000,1.072,1.086,1.226,0.000,1.171,0.000,1.090,0.000,1.015,1.043,1.095
