,1.5-1.51.50.050.10.0,1.5-1.51.5-0.00.10.0,1.5-1.51.5-0.10.10.0,1.5-1.51.5-0.0-0.10.0,1.5-1.51.6-0.2-0.05-0.0,1.5-1.51.60.0-0.10.0,1.5-1.51.60.05-0.1-0.1,1.5-1.51.50.15-0.1-0.1,1.5-1.51.50.00.00.0,1.5-1.41.50.10.050.0,1.45-1.51.5-0.05-0.05-0.0,1.5-1.41.50.150.050.0,1.4-1.41.50.05-0.050.0,1.4-1.41.50.0-0.0-0.0
,10,7,9,4,6,11,5,7,2,3,8,1,10,7
0,1.291,-1.262,-1.213,1.226,1.278,-0.220,-1.160,-50,1.382,-1.239,1.262,1.420,1.435,-50
