,1.5-1.51.50.00.05-0.0,1.6-1.51.50.00.1-0.0,1.7-1.51.50.0-0.05-0.0,1.7-1.51.50.00.05-0.1,1.7-1.51.50.0-0.1-0.1,1.7-1.51.50.05-0.15-0.2,1.7-1.51.50.0-0.1-0.3,1.5-1.51.50.0-0.00.0,1.6-1.51.50.00.050.0,1.6-1.51.5-0.1-0.00.0,1.5-1.51.5-0.10.050.0,1.5-1.51.5-0.1-0.10.0,1.5-1.51.5-0.05-0.1-0.1,1.5-1.51.5-0.05-0.1-0.2,1.5-1.51.5-0.05-0.1-0.2,1.5-1.51.6-0.1-0.1-0.2,1.5-1.51.6-0.15-0.2-0.2,1.45-1.61.60.0-0.25-0.2,1.4-1.61.60.05-0.15-0.2,1.4-1.61.60.1-0.25-0.2,1.4-1.61.60.15-0.15-0.2,1.4-1.61.60.10.1-0.2,1.4-1.61.50.10.1-0.2,1.4-1.61.50.050.15-0.2
,0,0,11,9,11,11,8,0,7,1,9,11,11,6,4,9,3,1,6,8,9,5,8,10
0,1.332,-1.242,-1.226,-1.221,-1.187,-1.155,3.848,1.328,1.329,1.406,-1.403,-1.400,-1.368,-1.357,1.426,-1.376,-1.262,1.362,-1.293,1.890,1.355,-1.256,1.271,1.270
