,1.5-1.51.50.10.00.0,1.5-1.41.50.20.050.0,1.5-1.41.5-0.00.00.0,1.5-1.41.50.050.00.0,1.5-1.41.50.10.00.0,1.5-1.41.50.20.00.0,1.5-1.41.50.10.00.6,1.6-1.41.50.20.050.6,1.7-1.41.50.10.10.6,1.7-1.31.50.450.00.6,1.7-1.31.50.3-0.10.6,1.7-1.21.50.25-0.10.6,1.7-1.11.50.35-0.10.6,1.7-1.11.60.25-0.10.6,1.7-1.11.70.25-0.10.6,1.5-1.51.5-0.050.0-0.0,1.5-1.51.5-0.050.0-0.1,1.5-1.51.50.10.0-0.1,1.5-1.51.50.150.0-0.1,1.5-1.51.60.050.0-0.1,1.5-1.51.50.10.0-0.1
,2,10,10,6,6,11,0,0,2,9,2,2,4,4,6,11,6,8,4,5,10
0,1.498,1.576,1.060,-1.555,-1.509,-1.138,-1.063,-1.036,-0.961,1.020,1.068,-1.048,1.119,1.157,1.155,1.410,-1.393,-0.761,1.512,-1.403,6.481
