,1.5-1.51.5,1.5-1.51.6,1.5-1.41.6,1.4-1.41.6,1.4-1.51.6,1.4-1.41.6,1.4-1.41.5,1.4-1.41.5,1.4-1.51.5,1.4-1.41.5,1.3-1.41.5,1.2-1.41.5,1.2-1.31.5,1.2-1.31.5,1.3-1.31.5,1.4-1.31.5
,4,2,1,3,0,5,4,3,0,1,1,2,3,0,1,1
0,1.779,2.386,2.159,0.000,0.000,2.126,0.000,0.000,0.000,2.184,3.309,6.373,0.000,8.450,9.077,1.120
