,1.5-1.51.5,1.4-1.51.5,1.4-1.41.5,1.4-1.41.6,1.3-1.41.6,1.3-1.41.5,1.4-1.41.5,1.3-1.41.5,1.2-1.41.5,1.2-1.31.5,1.2-1.31.5,1.2-1.21.5,1.2-1.21.6,1.2-1.31.6,1.1-1.31.6,1.1-1.21.6,1.1-1.11.6,1.1-1.11.7,1.1-1.11.6,1.1-1.11.5,1.1-1.21.5,1.0-1.21.5,1.0-1.21.4,1.0-1.11.4,1.0-1.01.4,0.9-1.01.4,0.9-1.01.5,1.0-1.01.5,1.0-0.91.5,1.0-0.91.4,0.9-0.91.4,0.9-0.91.3,0.9-1.01.3,1.0-0.91.4,1.0-0.91.3,1.0-0.81.3,0.9-0.81.3,1.0-0.81.3,1.2-1.21.5,1.2-1.31.6,1.3-1.31.6,1.2-1.31.6,1.2-1.11.6
,1,2,4,1,5,0,1,1,2,3,2,4,3,1,2,2,4,5,5,3,1,5,2,2,1,4,0,2,5,1,5,3,4,5,2,1,0,3,3,0,1,2,3
0,3.111,3.089,0.000,0.969,0.999,0.000,2.396,2.976,3.675,0.000,6.158,8.928,10.029,0.000,1.155,1.255,0.000,1.258,1.354,0.000,1.204,1.267,1.433,1.735,0.000,1.435,2.459,2.730,1.809,0.000,1.812,0.000,1.552,2.041,2.495,3.310,4.995,0.000,0.000,0.000,1.060,10.650,0.000
