,0.20.5-0.3,0.2-0.11.4,0.5-0.11.4,0.6-0.11.3,1.4-1.61.3,1.5-1.61.3,1.5-1.61.2,1.6-1.61.2,1.5-1.61.2,1.5-1.61.1,1.5-1.51.5,1.5-1.61.5,1.5-1.61.6,1.6-1.61.6,1.6-1.61.5,1.6-1.61.5,1.6-1.71.5,1.6-1.71.6,1.6-1.61.5,1.5-1.61.5,1.5-1.61.6,1.5-1.61.5,1.5-1.71.5,1.5-1.71.4,1.5-1.71.4,1.5-1.71.3,1.6-1.71.3,1.6-1.71.2,1.7-1.71.2,1.6-1.71.2,1.5-1.51.5,1.4-1.51.5,1.4-1.51.4,1.4-1.41.4,1.5-1.41.4,1.6-1.41.4,1.6-1.41.3,1.7-1.41.3,1.7-1.51.3,1.7-1.51.4,1.6-1.51.4,1.6-1.51.5,1.7-1.51.5,1.6-1.51.4,1.6-1.41.3,1.6-1.31.3,1.6-1.21.3,1.6-1.21.3,1.6-1.21.2,1.6-1.31.2,1.5-1.31.2,1.5-1.31.1,1.5-1.41.1,1.5-1.41.2,1.6-1.41.2,1.6-1.41.1,1.6-1.41.1,1.6-1.31.1,1.5-1.31.2,1.5-1.41.2,1.5-1.31.2,1.4-1.31.2,1.4-1.31.1,1.3-1.31.1
,5,1,5,3,0,5,0,1,5,4,3,4,0,5,4,3,4,2,1,0,5,3,5,4,5,0,5,0,1,4,1,5,2,0,0,5,0,3,4,1,4,0,5,2,2,2,3,5,3,1,5,3,4,0,5,4,2,4,3,2,1,5,1,4
0,0.931,1.177,1.242,0.000,0.000,0.867,4.140,4.681,0.000,0.892,0.000,0.000,0.000,0.811,0.000,0.000,0.000,0.783,0.828,0.000,0.821,0.000,0.778,0.000,0.796,0.000,2.744,0.000,0.785,3.226,0.916,0.931,1.023,0.000,0.000,1.001,0.000,0.000,0.879,0.899,0.000,0.000,0.856,0.966,1.081,1.202,0.000,1.239,0.000,1.163,0.000,0.000,1.067,0.000,1.014,0.000,1.125,1.139,0.000,1.159,1.210,0.000,1.249,1.271
