,1.5-1.51.5,1.5-1.61.5,1.5-1.61.4,1.4-1.61.4,1.4-1.61.5,1.4-1.61.4,1.3-1.61.4,1.3-1.61.5,1.3-1.61.6,1.2-1.61.6,1.2-1.71.6,1.2-1.81.6,1.3-1.81.6,1.3-1.71.6,1.2-1.71.6,1.2-1.71.7,1.3-1.71.7,1.3-1.81.7,1.3-1.81.8,1.2-1.81.8,1.2-1.81.9,1.2-1.71.9,1.1-1.71.9,1.1-1.72.0,1.0-1.72.0,1.0-1.62.0,1.0-1.62.1,0.9-1.62.1,0.9-1.72.1,0.9-1.72.0,0.8-1.72.0,0.8-1.82.0,0.9-1.82.0,0.9-1.82.1,0.9-1.72.0,0.9-1.62.0,1.3-1.61.4,1.3-1.61.4,1.2-1.61.4,1.2-1.51.4,1.2-1.51.5,1.2-1.51.4,1.1-1.51.4,1.1-1.51.3,1.1-1.51.2,1.1-1.51.1,1.2-1.51.4
,3,5,1,4,5,1,4,4,1,3,3,0,2,1,4,0,3,4,1,4,2,1,4,1,2,4,1,3,5,1,3,0,4,2,2,3,0,1,2,4,5,1,5,5,5,4,3
0,11.137,11.731,11.486,0.000,0.865,11.272,0.000,0.838,0.000,0.769,0.000,0.717,0.768,0.000,0.754,0.000,0.700,0.000,0.677,0.000,0.691,0.692,0.000,0.661,0.697,0.000,0.658,0.000,0.651,0.000,0.614,0.621,0.000,0.628,0.914,0.393,0.000,11.006,10.600,10.462,10.303,0.000,0.977,0.981,4.578,5.204,0.000
