,1.5-1.51.5,1.5-1.51.6,1.5-1.51.7,1.5-1.51.8,1.5-1.61.8,1.5-1.71.8,1.5-1.71.7,1.6-1.71.7,1.6-1.81.7,1.6-1.81.8,1.6-1.81.9,1.7-1.81.9,1.7-1.81.8,1.7-1.71.8,1.8-1.71.8,1.8-1.61.8,1.8-1.51.8,1.9-1.51.8,2.0-1.51.8,2.0-1.51.9,2.0-1.61.9,2.0-1.71.9,1.9-1.71.9,1.8-1.71.9,1.5-1.51.6,1.5-1.41.6,1.5-1.31.6,1.5-1.21.6,1.4-1.21.6,1.4-1.21.5,1.4-1.21.5,1.4-1.21.4,1.4-1.21.3,1.3-1.21.3,1.3-1.21.3,1.3-1.21.2
,4,4,4,3,3,5,0,3,4,4,0,5,2,0,2,2,0,0,4,3,3,1,1,0,2,2,2,1,5,4,5,5,1,0,5,4
0,0.873,0.000,0.000,0.000,0.000,0.729,0.000,0.000,0.000,0.000,0.000,0.642,0.670,0.000,0.708,0.732,0.000,0.000,0.000,0.000,0.000,0.622,2.141,2.281,1.517,1.633,1.735,1.819,1.912,0.000,2.002,2.110,4.807,0.000,10.337,10.643
