,1.5-1.51.5,1.5-1.61.5,1.5-1.61.6,1.4-1.61.6,1.4-1.71.6,1.4-1.61.6,1.3-1.61.6,1.2-1.61.6,1.2-1.61.7,1.2-1.61.6,1.2-1.61.5,1.3-1.61.5,1.3-1.61.5,1.3-1.61.4,1.3-1.51.4,1.3-1.51.4,1.3-1.51.3,1.3-1.51.2,1.3-1.61.2,1.3-1.71.2,1.3-1.81.2,1.2-1.81.2,1.2-1.91.2,1.2-1.81.2,1.3-1.81.2,1.3-1.81.1,1.2-1.81.1,1.2-1.91.1,1.2-1.81.1,1.1-1.81.1,1.1-1.71.1,1.1-1.61.1,1.1-1.51.1,1.1-1.51.1,1.1-1.51.2,1.5-1.61.5,1.4-1.61.5,1.4-1.61.4,1.4-1.61.3,1.5-1.61.3,1.6-1.61.3,1.6-1.51.3,1.6-1.51.2,1.6-1.51.3,1.5-1.51.3,1.5-1.41.3,1.5-1.41.3,1.4-1.41.3,1.4-1.51.3,1.4-1.51.4,1.4-1.51.3,1.4-1.41.3,1.4-1.31.3,1.4-1.21.3,1.4-1.21.3,1.3-1.21.3,1.3-1.21.4,1.4-1.21.4,1.4-1.11.4,1.3-1.11.4,1.3-1.21.4,1.3-1.11.4,1.2-1.11.4,1.2-1.11.5,1.2-1.11.6,1.2-1.01.6,1.1-1.01.6,1.1-0.91.6,1.1-0.81.6,1.5-1.61.3,1.3-1.21.3,1.3-1.21.2,1.2-1.21.2,1.2-1.21.1,1.2-1.11.1,1.3-1.11.1,1.3-1.11.0,1.3-1.01.0,1.4-1.01.0,1.4-1.00.9,1.4-1.00.8,1.3-1.00.8,1.3-0.90.8,1.4-0.90.8,1.3-0.90.8,1.4-0.90.9,1.3-1.00.9,1.3-0.90.9,1.3-0.80.9,1.3-0.80.9,1.3-0.80.8,1.3-0.80.9,1.4-0.80.9,1.4-0.70.9,1.4-0.70.9,1.4-0.71.0,1.3-1.21.3,1.3-1.11.3,1.3-1.11.3,1.2-1.11.4,1.2-1.11.3,1.2-1.11.2,1.3-1.11.2,1.2-1.21.2,1.2-1.21.2,1.3-1.11.2,1.3-1.11.3,1.3-1.01.3,1.1-1.01.3,1.1-1.01.3,1.1-1.11.3,1.1-1.11.4,1.0-1.11.4,1.0-1.01.4,1.0-0.91.4,0.9-0.91.4,0.9-1.01.4,0.9-1.11.4,0.9-1.11.5,1.5-1.21.3,1.4-1.11.3,1.2-1.01.3,1.2-0.91.3,1.3-0.91.3,1.2-0.91.3,1.2-0.91.3,1.2-0.81.3,1.2-0.81.4,1.2-0.81.5,1.2-0.91.5,1.2-0.81.5,1.2-0.71.5,1.2-0.71.6,1.1-0.71.6,1.1-0.81.7,1.1-0.81.8,1.1-0.91.8,1.0-0.91.8,1.0-0.81.8,1.1-0.91.8,1.1-0.91.7,1.1-0.91.3,1.1-0.91.4,1.1-0.81.5,1.1-0.71.5,1.1-0.71.6,1.2-0.81.3,1.3-0.81.3,1.4-0.81.3,1.3-0.81.2,1.2-0.81.2,1.2-0.81.2,1.2-0.71.2,1.4-0.71.2,1.3-0.71.3,1.4-0.71.3,1.4-0.71.4,1.5-0.71.4,1.5-0.71.3,1.5-0.81.3,1.4-0.81.2,1.4-0.91.2,1.4-1.01.2,1.4-1.01.3,1.4-0.91.3,1.5-0.91.3,1.2-0.81.3,1.1-0.81.3,1.1-0.81.4,1.1-0.71.4,1.1-0.71.3,1.1-0.81.3,1.2-0.81.3,1.2-0.71.3,1.2-0.61.3,1.2-0.71.4,1.3-0.71.4,1.4-0.61.5,1.3-0.61.4,1.3-0.71.4,1.3-0.81.4,1.3-0.81.3,1.2-0.61.3,1.3-0.61.3,1.2-0.61.3
,3,4,1,3,2,1,1,4,5,5,0,4,5,2,3,5,5,3,3,3,1,3,2,0,5,1,3,2,1,2,2,2,3,4,2,1,5,5,0,0,2,5,4,1,2,3,1,3,4,5,0,2,2,3,1,4,0,2,1,3,2,1,4,4,2,1,2,2,4,2,5,1,5,2,0,5,2,0,5,5,1,2,0,1,4,3,2,2,3,5,4,0,2,3,4,2,2,3,4,5,5,0,3,0,2,4,2,1,1,3,4,1,2,2,1,3,3,4,2,2,1,2,0,1,3,2,4,4,3,2,2,4,1,3,4,3,1,2,0,5,5,4,4,2,4,2,0,0,5,1,0,2,0,4,0,4,0,5,3,1,3,3,4,2,0,4,1,4,2,5,3,0,2,2,4,0,4,5,3,3,5,3,0,1,1
0,2.105,-0.500,0.817,-0.500,0.832,-0.500,0.517,-0.500,0.825,1.339,0.854,-0.500,0.874,0.964,-0.500,0.980,-0.500,-0.500,-0.500,-0.500,-0.500,-0.500,0.771,-0.500,-0.500,0.768,-0.500,0.781,-0.500,0.833,0.903,0.994,-0.500,1.012,1.088,3.001,2.894,3.125,3.399,-0.500,0.924,-0.500,0.936,0.943,4.670,-0.500,4.359,-0.500,-0.500,0.960,-0.500,4.144,4.515,-0.500,5.331,-0.500,-0.500,1.483,-0.500,-0.500,1.490,1.496,-0.500,-0.500,1.413,-0.500,1.547,1.897,1.005,4.910,-0.500,1.420,-0.500,1.676,-0.500,-0.500,1.927,-0.500,-0.500,-0.500,1.698,1.984,-0.500,1.973,2.090,-0.500,2.137,2.657,-0.500,-0.500,2.720,-0.500,2.902,-0.500,3.504,4.155,5.925,-0.500,-0.500,1.546,1.627,0.352,-0.500,-0.500,1.637,-0.500,5.971,5.531,-0.500,-0.500,1.573,-0.500,1.599,1.828,-0.500,-0.500,-0.500,-0.500,1.410,1.502,1.581,4.664,-0.500,3.168,-0.500,4.820,-0.500,-0.500,-0.500,1.990,2.228,-0.500,-0.500,-0.500,-0.500,0.207,-0.500,1.254,1.306,1.382,1.515,-0.500,-0.500,2.163,-0.500,-1.000,-0.500,-0.500,2.781,3.175,-0.500,4.560,-0.500,-0.500,-0.500,-0.500,-0.500,2.443,-0.500,2.456,-0.500,-0.500,-0.500,2.062,-0.500,1.738,-0.500,-0.500,2.763,3.244,-0.500,2.782,6.118,4.522,-0.500,-0.500,-0.500,3.053,-0.500,-0.500,2.567,-0.500,-0.500,4.374,3.936
