,1.5-1.51.5,1.6-1.51.5,1.6-1.51.4,1.6-1.41.4,1.6-1.41.4,1.7-1.41.4,1.7-1.51.4,1.7-1.51.5,1.6-1.41.4,1.6-1.41.5,1.6-1.41.4,1.6-1.31.4,1.5-1.31.4,1.5-1.41.4,1.4-1.41.4,1.4-1.31.4,1.4-1.31.3,1.6-1.31.3,1.5-1.41.3,1.5-1.51.3,1.5-1.51.4,1.5-1.31.4,1.5-1.21.4,1.6-1.11.4,1.5-0.91.4,1.5-1.11.4,1.5-1.11.5,1.5-1.11.4,1.6-1.01.4,1.5-1.11.4,1.5-1.11.4,1.5-1.01.4,1.5-1.01.5,1.5-1.01.4,1.4-1.01.4,1.4-0.91.4,1.5-0.91.4,1.6-0.91.5,1.6-1.01.5,1.4-1.01.5,1.3-1.01.5,1.3-1.01.6,1.4-1.01.6,1.3-1.01.6,1.2-1.01.6,1.2-1.01.5,1.2-1.01.4,1.3-0.91.4,1.2-0.91.4,1.2-0.91.4,1.1-0.91.4,1.2-0.91.4,1.2-0.91.3,1.2-0.91.2,1.2-1.01.2,1.2-1.11.2,1.3-1.11.2,1.2-1.11.2,1.4-0.91.4,1.4-0.81.4,1.3-0.71.4,1.2-0.81.5,1.4-0.81.6,1.4-0.81.6,1.4-0.81.5,1.3-0.81.4,1.3-0.81.3,1.3-0.81.2,1.2-0.81.2,1.3-1.01.4,1.3-1.01.4,1.4-1.11.4,1.4-1.11.3,1.4-1.21.3,1.3-1.21.3,1.3-1.11.3,1.4-0.81.2,1.3-0.81.1,1.3-0.81.0,1.3-0.80.9,1.3-0.90.9,1.3-1.00.9,1.4-1.00.9,1.3-1.00.9,1.3-1.10.9,1.1-0.71.2,1.2-0.71.3,1.2-0.71.4,1.2-0.61.4,1.3-0.61.4,1.4-0.61.4,1.4-0.61.3,1.5-1.31.3,1.2-0.71.2,1.2-0.81.4,1.5-0.91.4,1.4-0.91.3,1.4-0.81.3,1.5-0.81.3,1.5-0.81.4,1.6-0.81.4,1.7-0.81.4,1.7-0.91.4,1.7-0.81.4,1.6-0.81.4,1.6-0.71.4,1.6-0.71.3,1.1-0.71.2,1.3-0.91.3,1.4-0.81.3,1.4-0.81.3,1.3-0.71.2,1.4-1.11.3,1.4-1.11.2,1.4-1.11.1,1.4-1.01.1,1.5-1.01.1,1.5-1.11.1,1.5-1.11.2,1.4-1.01.1,1.4-1.01.0,1.5-1.01.0,1.5-1.01.1,1.6-1.01.1,1.6-1.01.2,1.6-1.11.2,1.7-1.11.2,1.7-1.21.2,1.6-1.21.2,1.6-1.21.3,1.7-1.21.3,1.7-1.11.3,1.7-1.11.3,1.7-1.01.3,1.8-1.01.3,1.8-0.91.3,1.9-0.81.3,1.2-0.81.1,1.4-0.81.1,1.5-0.91.1,1.5-1.01.1,1.3-1.01.1,1.2-1.01.2,1.2-1.01.2,1.2-0.91.2,1.3-0.81.1,1.2-0.81.3,1.3-0.71.3,1.4-0.71.3,1.4-0.71.2,1.3-0.71.3,1.2-0.71.3,1.3-0.71.1
,0,5,2,3,0,3,4,1,4,3,2,1,3,1,2,5,0,3,3,4,4,2,2,2,3,4,5,0,3,3,2,4,5,1,2,0,4,3,1,1,4,0,1,1,5,5,0,1,0,1,0,5,5,3,3,0,1,2,2,1,4,4,0,5,5,5,5,1,2,0,3,5,3,1,2,2,5,5,5,3,3,0,1,3,4,4,4,2,0,0,5,2,4,2,0,5,2,0,4,0,0,3,2,1,2,5,1,0,2,3,1,5,5,5,2,0,3,4,1,5,0,4,0,4,3,0,3,1,4,0,2,3,2,0,2,2,4,0,3,3,1,4,1,2,2,4,2,0,5,1,2,5,4
0,44.447,53.299,61.679,-1.000,-1.000,-1.000,-1.000,0.870,-1.000,-1.000,70.074,73.817,-1.000,1.032,1.137,-0.129,-1.000,-1.000,-1.000,-1.000,-1.000,71.500,73.958,1.497,-1.000,-1.000,1.357,-1.000,1.271,-1.000,88.472,-1.000,1.518,105.120,114.934,-1.000,-1.000,-1.000,1.493,1.543,-1.000,-1.000,1.405,1.416,1.562,1.699,-1.000,3.718,-1.000,-1.000,2.005,3.536,4.191,-1.000,-1.000,-1.000,1.652,1.983,95.651,67.107,-1.000,-1.000,-1.000,1.830,2.134,40.093,142.811,173.460,192.674,-1.000,-1.000,1.487,-1.000,1.369,1.574,1.804,3.231,-1.000,-1.000,-1.000,-1.000,-1.000,1.833,-1.000,1.648,-1.000,-1.000,3.167,-1.000,-1.000,3.221,100,1.138,100.000,-1.000,3.839,2.437,-1.000,-1.000,-1.000,-1.000,-1.000,1.573,3.234,2.032,-1.000,2.310,100,68.501,-1.000,1.950,42.534,1.558,1.083,1.881,-1.000,-1.000,-1.000,1.577,-1.000,-1.000,1.814,-1.000,-1.000,-1.000,-1.000,-1.000,1.227,-1.000,-1.000,1.248,-1.000,1.347,-1.000,1.364,-1.000,1.460,-1.000,-1.000,-1.000,1.985,2.106,-1.000,2.465,104.512,-1.000,12.777,-1.000,3.324,100,100,3.830,100
