,1.5-1.51.5,1.6-1.51.5,1.5-1.51.5,1.4-1.51.5,1.4-1.51.5,1.4-1.51.4,1.3-1.51.4,1.2-1.51.4,1.3-1.51.4,1.3-1.41.4,1.3-1.31.4,1.2-1.31.4,1.2-1.31.4,1.1-1.31.4,1.1-1.41.4,1.1-1.41.5,1.1-1.41.5,1.1-1.51.5,1.2-1.51.5,1.2-1.41.5,1.2-1.41.4,1.2-1.51.4,1.2-1.41.5,1.3-1.41.5,1.3-1.51.5,1.3-1.61.5,1.3-1.61.4,1.2-1.61.4,1.2-1.61.3,1.1-1.61.3,1.1-1.71.3,1.2-1.71.3,1.4-1.51.5,1.3-1.51.5,1.3-1.41.5,1.2-1.31.4,1.2-1.31.3,1.2-1.31.4,1.2-1.21.4,1.2-1.21.5,1.2-1.21.5,1.2-1.21.6,1.2-1.21.5,1.3-1.21.5,1.4-1.21.5,1.4-1.31.5,1.5-1.31.5,1.5-1.21.5,1.5-1.21.4,1.5-1.21.3,1.4-1.21.3,1.4-1.21.2,1.4-1.31.2,1.4-1.21.2,1.5-1.21.2,1.5-1.21.1,1.4-1.21.1,1.4-1.11.1,1.3-1.11.1,1.3-1.11.1,1.3-1.21.1,1.3-1.11.1,1.2-1.11.1,1.2-1.11.0,1.2-1.01.0,1.3-1.41.5,1.3-1.41.6,1.2-1.41.6,1.2-1.31.6,1.2-1.21.6,1.2-1.11.6,1.2-1.01.6,1.2-0.91.6,1.3-0.91.6,1.4-0.91.6,1.5-0.91.6,1.5-1.01.6,1.5-1.01.5,1.6-1.01.5,1.6-1.01.6,1.6-1.01.7,1.6-1.11.7,1.6-1.21.7,1.6-1.31.7,1.6-1.31.8,1.6-1.21.8,1.6-1.21.7,1.6-1.11.7,1.7-1.11.7,1.7-1.01.7,1.7-1.01.8,1.7-0.91.8,1.7-1.01.8,1.7-1.01.9,1.8-1.01.9,1.8-1.02.0,1.9-1.02.0,2.0-1.02.0,2.0-1.12.0,1.9-1.12.0,1.9-1.12.0,1.2-1.01.6,1.3-1.01.6,1.3-1.01.5,1.2-1.01.5,1.3-0.91.5,1.3-0.81.5,1.2-0.81.6,1.2-0.71.6,1.2-0.71.7,1.2-0.71.7,1.2-0.81.8,1.2-0.81.8,1.2-1.01.6,1.1-1.01.6,1.1-1.01.5,1.1-0.91.5,1.1-1.01.5,1.1-1.01.6,1.1-0.91.6,1.1-1.01.6,1.2-1.01.6,1.2-1.01.7,1.2-1.41.6,1.1-1.41.6,1.1-1.41.7,1.1-1.41.7,1.1-1.31.7,1.1-1.31.8,1.1-1.41.8,1.1-1.41.9,1.1-1.51.9,1.1-1.51.8,1.1-1.51.9,1.1-1.52.0,1.1-1.51.9,1.0-1.51.9,1.0-1.41.9,0.9-1.41.9,1.0-1.41.9,1.0-1.41.9,1.0-1.31.9,1.0-1.21.9,1.0-1.11.9,1.0-1.12.0,1.1-1.12.0,1.1-1.11.9,1.1-1.11.8,1.0-1.11.8,1.0-1.11.7,1.1-1.11.7,1.1-1.11.6,1.1-1.11.5,1.2-1.11.5,1.3-1.11.5,1.2-1.11.5,1.1-1.01.7,1.1-1.11.7,1.1-1.11.7,1.1-1.01.7,1.0-1.01.7,1.0-0.91.7,0.8-0.91.7,0.8-0.91.7,0.8-0.91.6,0.8-0.91.7,0.8-0.81.7,0.8-0.81.8,0.8-0.81.9,0.7-0.81.9,0.7-0.82.0,1.2-0.91.6,1.2-0.91.7,1.1-1.01.7,1.2-1.01.7,1.2-1.01.7,1.2-1.11.7,1.3-1.11.7,1.3-1.11.6,1.3-1.11.7,1.2-1.11.7,1.2-1.01.7,1.3-1.01.7,1.2-1.01.7,1.2-1.01.7,1.2-1.01.8,1.1-1.01.8,1.1-1.01.9,1.2-1.21.6,1.2-1.41.7,1.3-1.41.5,1.4-1.41.5,1.4-1.31.5,1.4-1.31.5,1.4-1.31.4,1.4-1.31.3,1.4-1.41.3,1.5-1.41.3,1.5-1.51.3,1.6-1.51.3,1.7-1.51.3,1.7-1.51.4,1.7-1.41.4,1.7-1.31.4,1.7-1.31.5,1.8-1.31.5,1.9-1.31.5,1.9-1.21.5,1.9-1.21.6,1.9-1.21.7,1.9-1.11.7,1.9-1.01.7,1.9-1.01.7,1.8-1.01.7,1.3-1.11.6,1.2-1.01.8,1.2-0.91.8,1.3-1.41.6,1.3-1.51.6,1.2-1.51.6,1.2-1.51.6,1.5-1.51.5,1.5-1.51.4,1.6-1.51.4,1.6-1.51.3,1.6-1.41.3,1.6-1.41.3,1.6-1.31.2,1.5-1.41.2,1.5-1.31.2
,0,1,1,0,5,1,1,0,2,2,1,0,1,3,4,5,3,0,2,5,3,4,0,3,3,5,1,5,1,3,0,1,1,2,5,5,4,2,4,5,4,5,0,0,3,0,2,5,5,1,5,3,2,0,5,1,2,1,0,3,0,1,5,2,3,4,1,2,2,2,2,2,0,0,0,3,5,0,4,4,3,3,3,4,2,5,2,0,2,4,2,3,4,0,4,0,0,3,1,0,1,0,5,1,2,2,4,2,4,5,4,3,2,1,5,2,3,4,2,3,0,4,1,1,4,5,2,4,3,4,3,5,4,4,5,1,2,1,0,3,2,2,2,4,0,5,5,1,5,0,5,5,0,0,1,5,3,1,2,1,2,1,1,5,4,2,4,4,1,4,2,4,3,2,5,3,0,5,4,1,5,0,1,2,4,1,4,5,3,5,0,2,3,5,5,3,0,3,0,0,4,2,2,4,0,0,2,4,4,2,2,3,1,0,2,2,5,3,1,0,2,5,0,5,2,3,5,1,2,0
0,0.860,22.700,49.599,-1,-1,1.403,1.424,-1,1.525,2.665,1.723,-1,-1,-1,1.762,-1,-1,1.565,1.788,-1,-1,1.580,1.749,-1,-1,-1,1.280,-1,1.174,-1,1.082,1.076,62.414,71.001,-1,-1,1.750,1.896,2.260,-1,2.849,-1,-1,-1,-1,-1,1.864,-1,-1,1.512,-1,-1,1.332,-1,-1,1.184,1.915,1.234,-1,-1,-1,1.240,-1,1.112,1.120,78.897,76.492,70.471,79.651,88.998,89.867,-1.000,-1,-1,-1,-1,-1,-1,2.157,2.356,-1,-1,-1,1.949,2.147,-1,2.154,-1,1.887,1.990,-1,-1,1.989,-1,-1,-1,-1,-1,1.390,-1,1.621,-1,-1,2.517,-1,-1,2.668,-1,2.984,-1,3.843,4.412,-100,-1,-1,-1,2.439,3.187,-1,3.148,3.321,94.091,-0.080,-1,2.248,-1,2.681,2.941,-1,2.452,-1,-1,2.004,-1,1.970,-1,2.298,-1,2.232,-1,2.885,3.596,4.175,-1,5.753,6.985,-1,-1,-1,4.223,-1,-1,2.451,-1,2.447,1.965,-1,-1,4.304,-1,-1,-1,-1,-1,2.178,-1,2.252,-1,-1,1.889,-100,4.212,30.948,3.971,-1,-1,-1,-1,4.096,4.493,-1,-1,5.044,-1,98.614,-1,63.006,-1,-1,-1,-1,1.874,-1,-1,-1,-1,-1,-1,-1,-1,1.164,1.221,1.301,1.404,-1,-1,1.200,1.279,1.314,1.365,-0.044,-1,1.572,-1,3.309,-1,-1,-1,1.726,-1,1.979,-1,-1,-1,1.227,-1,-1,1.168,1.256,1.145
